Row,Regex1,Regex2,IsEquivalent,SimilarityScore
1,\d+,\d+,True,1.0
2,"^([a-zA-Z]+[ ,.!?;:'""…]*){8}[a-zA-Z]+[.!?;:'""…]?$","^([a-zA-Z]+[ ,.!?;:'""…]*){8}[a-zA-Z]+[.!?;:'""…]?$",True,1.0
3,"^\d{3,6}$","^\d{3,6}$",True,1.0
4,^\d+(\.\d+)?(\.\d+)?$,^\d+\.\d+\.\d+$,False,0.7142857142857143
5,\d+,\d+,True,1.0
6,"^\d{6,13}$","^\d{6,13}$",True,1.0
7,^\d+\.\d+$,^\d+\.\d+\.\d+$,False,0.6666666666666667
8,(2025(05(02|01)|04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01))),^([1-9][0-9]{3})([0-1][0-9]|2[0-9]|3[0-1])([0-3][0-9])$,False,0.1351351351351351
9,^[a-zA-Z]{9}$,^[a-zA-Z]{9}$,True,1.0
10,"^\d{1,2}$","^\d{1,2}$",True,1.0
11,"^([a-zA-Z]+[ ,.!?;:'""…]*){0}[a-zA-Z]+[.!?;:'""…]?$","^([a-zA-Z]+[ ,.!?;:'""…]*){0}[a-zA-Z]+[.!?;:'""…]?$",True,1.0
12,"^\d{3,15}$","^\d{3,15}$",True,1.0
13,^[a-zA-Z]{8}$,^[a-zA-Z]{8}$,True,1.0
14,^[A-Z][a-zA-Z]*$,^[A-Z][a-zA-Z]*$,True,1.0
15,(2025(05(02|01)|04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06))),\d{4}(0[1-9]|1[0-2])(0[1-9]|[12][0-9]|3[01])$,False,0.16666666666666663
16,"^rgb$$1,\s*$2,\s*$3$$","^RGB\d{1,3},\d{1,3},\d{1,3}$",False,0.2857142857142857
17,^\d{4}$,^\d{4}$,True,1.0
18,^gcckdo.*,^gcckdo.*,True,1.0
19,"^\d{7,9}$","^\d{7,9}$",True,1.0
20,"^[A-Z]{2,8}$","^[A-Z]{2,8}$",True,1.0
21,^\d+\.\d+$,^\d+\.\d+$,True,1.0
22,^#[0-9A-Fa-f]{6}$,^#[0-9a-fA-F]{2}[0-9a-fA-F]{2}[0-9a-fA-F]{2}$,False,0.3555555555555555
23,"^.{0,9}ucbmhwwn$","^.{0,9}ucbmhwwn$",True,1.0
24,.*[a-zA-Z]$,.*[a-zA-Z]$,True,1.0
25,"^[a-z]{2,10}$","^[a-z]{2,10}$",True,1.0
