Row,Regex1,Regex2,IsEquivalent,SimilarityScore
1,^\d.*$,^\d.*$,True,1.0
2,^nhum.*mjepb.*$,^nhum.*mjepb.*$,True,1.0
3,^xgmbjt.*,^xgmbjt.*,True,1.0
4,.*insua$,.*insua$,True,1.0
5,^\d{10}$,^\d{10}$,True,1.0
6,"^([a-zA-Z]{2,4}[ ,.!?;:'""…]*){2,9}[a-zA-Z]{2,4}[.!?;:'""…]?$","^([a-zA-Z]{2,4}[ ,.!?;:'""…]*){2,9}[a-zA-Z]{2,4}[.!?;:'""…]?$",True,1.0
7,"^([a-zA-Z]{1,7}[ ,.!?;:'""…]*){3,8}[a-zA-Z]{1,7}[.!?;:'""…]?$","^([a-zA-Z]{1,7}[ ,.!?;:'""…]*){3,8}[a-zA-Z]{1,7}[.!?;:'""…]?$",True,1.0
8,^vyc.*,^vyc.*,True,1.0
9,"^([a-zA-Z]{3,7}[ ,.!?;:'""…]*){1,6}[a-zA-Z]{3,7}[.!?;:'""…]?$","^([a-zA-Z]{3,7}[ ,.!?;:'""…]*){1,6}[a-zA-Z]{3,7}[.!?;:'""…]?$",True,1.0
10,^ngegngd.*,^ngegngd.*,True,1.0
11,^[^\d]*$,^[^\d]*$,True,1.0
12,^\d{2}$,^\d{2}$,True,1.0
13,^(?=.*rmdb)(?=.*rurzg).*$,^(?=.*rmdb)(?=.*rurzg).*$,True,1.0
14,^glihh.*,^glihh.*,True,1.0
15,"^([a-zA-Z]+[ ,.!?;:'""…]*){4}[a-zA-Z]+[.!?;:'""…]?$","^([a-zA-Z]+[ ,.!?;:'""…]*){4}[a-zA-Z]+[.!?;:'""…]?$",True,1.0
16,.*[a-zA-Z]$,.*[a-zA-Z]$,True,1.0
17,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
18,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
19,"^[A-Z]{3,8}$","^[A-Z]{3,8}$",True,1.0
20,.*ilzwqa$,.*ilzwqa$,True,1.0
21,^[a-zA-Z]{1}$,^[a-zA-Z]{1}$,True,1.0
22,"^\d{1,9}$","^\d{1,9}$",True,1.0
23,"^([a-zA-Z]+[ ,.!?;:'""…]*){2}[a-zA-Z]+[.!?;:'""…]?$","^([a-zA-Z]+[ ,.!?;:'""…]*){2}[a-zA-Z]+[.!?;:'""…]?$",True,1.0
24,^[a-zA-Z]{8}$,^[a-zA-Z]{8}$,True,1.0
25,"^\d{3,}$","^\d{3,}$",True,1.0
26,^(?=.*\d)(?=.*[a-zA-Z]).+$,^(?=.*\d)(?=.*[a-zA-Z]).+$,True,1.0
27,"^\d{3,}$","^\d{3,}$",True,1.0
28,"^[A-Z]{5,8}$","^[A-Z]{5,8}$",True,1.0
29,"^\d{1,5}$","^\d{1,5}$",True,1.0
30,"^([a-zA-Z]+[ ,.!?;:'""…]*){0}[a-zA-Z]+[.!?;:'""…]?$","^([a-zA-Z]+[ ,.!?;:'""…]*){0}[a-zA-Z]+[.!?;:'""…]?$",True,1.0
