Row,Regex1,Regex2,IsEquivalent,SimilarityScore
1,^\d.*$,^\d+(\s|$),False,0.4
2,^nhum.*mjepb.*$,^nhum.*mjepb$,False,0.8666666666666667
3,^xgmbjt.*,^xgmbjt.*$,True,0.9
4,.*insua$,^.*insua$,False,0.8888888888888888
5,^\d{10}$,^\d{10}$,True,1.0
6,"^([a-zA-Z]{2,4}[ ,.!?;:'""…]*){2,9}[a-zA-Z]{2,4}[.!?;:'""…]?$","^[a-zA-Z]{2,4}\s*[a-zA-Z]{2,4}\s*([a-zA-Z]{2,4}\s*){1,8}$",False,0.4915254237288136
7,"^([a-zA-Z]{1,7}[ ,.!?;:'""…]*){3,8}[a-zA-Z]{1,7}[.!?;:'""…]?$","^[a-zA-Z]{1,7}\s[a-zA-Z]{1,7}\s?{0,7}[a-zA-Z]{1,7}\s?{0,6}[a-zA-Z]{1,7}\s?",False,0.41891891891891897
8,^vyc.*,^vyc.*$,True,0.8571428571428572
9,"^([a-zA-Z]{3,7}[ ,.!?;:'""…]*){1,6}[a-zA-Z]{3,7}[.!?;:'""…]?$","^[a-zA-Z]{3,7}\s[a-zA-Z]{3,7}(\s[a-zA-Z]{3,7}){1,5}$",False,0.4915254237288136
10,^ngegngd.*,^ngegngd.*$,True,0.9090909090909091
11,^[^\d]*$,^[^\d]*$,True,1.0
12,^\d{2}$,^\d{2}$,True,1.0
13,^(?=.*rmdb)(?=.*rurzg).*$,.*rmdb.*rurzg.*,False,0.6
14,^glihh.*,^glihh.*$,True,0.8888888888888888
15,"^([a-zA-Z]+[ ,.!?;:'""…]*){4}[a-zA-Z]+[.!?;:'""…]?$",^[a-zA-Z]+ [a-zA-Z]+ [a-zA-Z]+ [a-zA-Z]+ [a-zA-Z]+$,False,0.3921568627450981
16,.*[a-zA-Z]$,^[a-zA-Z][a-zA-Z0-9]*$,False,0.40909090909090906
17,.*[!@#$%^&*()].*,"^[^!@#\$%^\&*()_\+\-=\[\]{};':""\\|,.<>\/?]*[!@#\$%^\&*()_\+\-=\[\]{};':""\\|,",False,0.1842105263157895
18,.*[!@#$%^&*()].*,[^a-zA-Z0-9],False,0.125
19,"^[A-Z]{3,8}$","^[A-Z]{3,8}$",True,1.0
